$ADVER,3080,2.3
$GPRMC,200026.000,A,3748.1963,N,12217.6825,W,0.08,166.52,160714,,,D*7F
$GPRMC,200027.000,A,3748.1963,N,12217.6826,W,0.12,282.64,160714,,,D*7A
$GPRMC,200028.000,A,3748.1963,N,12217.6826,W,0.03,107.91,160714,,,D*71
$GPRMC,200029.000,A,3748.1962,N,12217.6825,W,0.14,119.27,160714,,,D*76
$GPRMC,200030.000,A,3748.1962,N,12217.6824,W,0.16,124.02,160714,,,D*74
$GPRMC,200031.000,A,3748.1962,N,12217.6824,W,0.11,290.73,160714,,,D*78
$GPRMC,200032.000,A,3748.1962,N,12217.6825,W,0.26,299.05,160714,,,D*76
$GPRMC,200033.000,A,3748.1963,N,12217.6825,W,0.16,30.70,160714,,,D*46
$GPRMC,200034.000,A,3748.1963,N,12217.6829,W,0.07,329.00,160714,,,D*71
$GPRMC,200035.000,A,3748.1964,N,12217.6832,W,0.07,356.30,160714,,,D*76
$GPRMC,200036.000,A,3748.1965,N,12217.6835,W,0.12,320.10,160714,,,D*74
$GPRMC,200037.000,A,3748.1965,N,12217.6837,W,0.07,335.81,160714,,,D*7F
$GPRMC,200038.000,A,3748.1965,N,12217.6838,W,0.13,315.31,160714,,,D*73
$GPRMC,200039.000,A,3748.1966,N,12217.6840,W,0.14,299.90,160714,,,D*77
$GPRMC,200040.000,A,3748.1967,N,12217.6840,W,0.24,341.04,160714,,,D*72
$GPRMC,200041.000,A,3748.1968,N,12217.6840,W,0.17,348.67,160714,,,D*70
$GPRMC,200042.000,A,3748.1969,N,12217.6840,W,0.21,309.94,160714,,,D*7E
$GPRMC,200043.000,A,3748.1970,N,12217.6841,W,0.17,333.84,160714,,,D*7B
$GPRMC,200044.000,A,3748.1970,N,12217.6841,W,0.10,311.54,160714,,,D*76
$GPRMC,200045.000,A,3748.1971,N,12217.6841,W,0.26,302.90,160714,,,D*79
$GPRMC,200046.000,A,3748.1972,N,12217.6842,W,0.34,305.39,160714,,,D*7D
$GPRMC,200047.000,A,3748.1973,N,12217.6843,W,0.28,312.55,160714,,,D*7D
$GPRMC,200048.000,A,3748.1973,N,12217.6843,W,0.11,12.21,160714,,,D*48
$GPRMC,200049.000,A,3748.1974,N,12217.6843,W,0.11,318.70,160714,,,D*73
$GPRMC,200050.000,A,3748.1974,N,12217.6843,W,0.13,340.40,160714,,,D*77
